"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"swaptions","2MB","8","LRU","2","2","163033440500","325945801","12.0949","0.525901","1.82341","0.594334","4.70802","8.45484","0.208618","0.0140354","0.00457478","2.8284000000000002","0.0301425","5886","1.0","1.0","214482"
"swaptions","4MB","8","LRU","2","2","163033440500","325945801","20.6516","0.728504","1.82927","0.596243","7.56499","17.01154","0.41122","0.01989164","0.00648359","5.685359999999999","0.0300575","4144","1.0","1.0","213203"
"swaptions","8MB","8","LRU","2","2","163033440500","325945801","36.7801","1.06368","1.83797","0.599078","12.9341","33.14","0.746394","0.028589","0.00931848","11.054459999999999","0.030033499999999998","2250","1.0","1.0","211444"
"vips","256kB","8","LRU","2","2","715642047500","1431284386","4.79021","0.350435","1.60015","2.29027","9.648","1.150172","0.033152","0.0079814","0.01142365","1.705097","0.565168","12955583","0.998386","0.99848","19973777"
"vips","512kB","8","LRU","2","2","715642108000","1431284507","6.0373","0.392398","1.6035","2.29506","11.4978","2.39726","0.0751148","0.01132617","0.01621096","3.55488","0.4566775","10172986","0.9988524999999999","0.99816","16487882"
"vips","1MB","8","LRU","2","2","715642168000","1431284627","8.53152","0.480438","1.60661","2.29952","15.1982","4.89148","0.1631548","0.014440109999999999","0.020667869999999998","7.2552900000000005","0.375912","8188038","0.998578","0.99917","13370971"
"vips","2MB","8","LRU","2","2","715642368000","1431285027","12.0949","0.525901","1.61071","2.30538","20.3693","8.45484","0.208618","0.01853691","0.0265316","12.42641","0.2182975","4700784","0.9993535","0.999444","8104898"
"vips","4MB","8","LRU","2","2","715642159000","1431284609","20.6516","0.728504","1.61355","2.30944","32.9104","17.01154","0.41122","0.02137118","0.0305883","24.9675","0.043247999999999995","791314","0.9973205","0.9977885","1797756"
"vips","8MB","8","LRU","2","2","715645410000","1431291110","36.7801","1.06368","1.62217","2.32179","56.4873","33.14","0.746394","0.029992899999999996","0.0429287","48.5443","0.027020000000000002","329521","0.999886","0.999997","1122874"
"x264","256kB","8","LRU","2","2","2079267501000","4158379102","4.79021","0.350435","1.17448","4.88393","26.2607","1.150172","0.033152","0.0031131600000000002","0.01294567","4.93365","0.2302505","8371981","0.9969785","0.9978825","12056368"
"x264","512kB","8","LRU","2","2","2079267501000","4158379230","6.0373","0.392398","1.17524","4.88709","31.6242","2.39726","0.0751148","0.0038744400000000003","0.01611138","10.29718","0.07669100000000001","2690940","0.9949844999999999","0.997412","4128923"
"x264","1MB","8","LRU","2","2","2079267501000","4158379294","8.53152","0.480438","1.17695","4.89422","42.3694","4.89148","0.1631548","0.005588940000000001","0.023240999999999998","21.0423","0.0472435","1641622","0.99848","0.9992185","2601500"
"x264","2MB","8","LRU","2","2","2079267494000","4158379742","12.0949","0.525901","1.17959","4.90519","57.3872","8.45484","0.208618","0.00822703","0.034211099999999994","36.060100000000006","0.032568","1108668","0.999691","0.9997045","1852040"
"x264","4MB","8","LRU","2","2","2079267494000","4158379742","20.6516","0.728504","1.18291","4.91899","93.8255","17.01154","0.41122","0.01154397","0.0480042","72.4984","0.025438000000000002","829026","0.9998045","0.9998454999999999","1513375"
"x264","8MB","8","LRU","2","2","2079267494000","4158379742","36.7801","1.06368","1.18782","4.93939","162.308","33.14","0.746394","0.016450489999999998","0.06840740000000001","140.9812","0.0193895","540958","0.999846","0.9997425","1175686"
